+--------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                         CheckBoxMenuItem.borderPainted | true                                                                                                                                                                                                                                                                                                                                                                                             |
|                             CheckBoxMenuItem.checkIcon | javax.swing.plaf.metal.MetalIconFactory$CheckBoxMenuItemIcon@e22632c                                                                                                                                                                                                                                                                                                                             |
|                          CheckBoxMenuItem.commandSound | sounds/MenuItemCommand.wav                                                                                                                                                                                                                                                                                                                                                                       |
|                    CheckBoxMenuItem.disabledForeground | javax.swing.plaf.ColorUIResource[r=153,g=153,b=153]                                                                                                                                                                                                                                                                                                                                              |
|                                  CheckBoxMenuItem.font | javax.swing.plaf.FontUIResource[family=Dialog,name=Dialog,style=bold,size=12]                                                                                                                                                                                                                                                                                                                    |
|                            CheckBoxMenuItem.foreground | sun.swing.PrintColorUIResource[r=51,g=51,b=51]                                                                                                                                                                                                                                                                                                                                                   |
|                              CheckBoxMenuItem.gradient | [0.3, 0.0, javax.swing.plaf.ColorUIResource[r=221,g=232,b=243], javax.swing.plaf.ColorUIResource[r=255,g=255,b=255], javax.swing.plaf.ColorUIResource[r=184,g=207,b=229]]                                                                                                                                                                                                                        |
|                                CheckBoxMenuItem.margin | javax.swing.plaf.InsetsUIResource[top=2,left=2,bottom=2,right=2]                                                                                                                                                                                                                                                                                                                                 |
|                   CheckBoxMenuItem.selectionBackground | javax.swing.plaf.ColorUIResource[r=163,g=184,b=204]                                                                                                                                                                                                                                                                                                                                              |
|                   CheckBoxMenuItem.selectionForeground | sun.swing.PrintColorUIResource[r=51,g=51,b=51]                                                                                                                                                                                                                                                                                                                                                   |
|                                     CheckBoxMenuItemUI | javax.swing.plaf.basic.BasicCheckBoxMenuItemUI                                                                                                                                                                                                                                                                                                                                                   |
|                                             CheckBoxUI | javax.swing.plaf.metal.MetalCheckBoxUI                                                                                                                                                                                                                                                                                                                                                           |
|                                        Checkbox.select | javax.swing.plaf.ColorUIResource[r=184,g=207,b=229]                                                                                                                                                                                                                                                                                                                                              |
|                                ColorChooser.background | javax.swing.plaf.ColorUIResource[r=238,g=238,b=238]                                                                                                                                                                                                                                                                                                                                              |
|                                      ColorChooser.font | javax.swing.plaf.FontUIResource[family=Dialog,name=Dialog,style=plain,size=12]                                                                                                                                                                                                                                                                                                                   |
|                                ColorChooser.foreground | sun.swing.PrintColorUIResource[r=51,g=51,b=51]                                                                                                                                                                                                                                                                                                                                                   |
|                ColorChooser.swatchesDefaultRecentColor | javax.swing.plaf.ColorUIResource[r=238,g=238,b=238]                                                                                                                                                                                                                                                                                                                                              |
|                  ColorChooser.swatchesRecentSwatchSize | java.awt.Dimension[width=10,height=10]                                                                                                                                                                                                                                                                                                                                                           |
|                        ColorChooser.swatchesSwatchSize | java.awt.Dimension[width=10,height=10]                                                                                                                                                                                                                                                                                                                                                           |
|                                         ColorChooserUI | javax.swing.plaf.basic.BasicColorChooserUI                                                                                                                                                                                                                                                                                                                                                       |
|                              ComboBox.ancestorInputMap | javax.swing.plaf.InputMapUIResource@cdfeb41                                                                                                                                                                                                                                                                                                                                                      |
|                                    ComboBox.background | javax.swing.plaf.ColorUIResource[r=238,g=238,b=238]                                                                                                                                                                                                                                                                                                                                              |
|                              ComboBox.buttonBackground | javax.swing.plaf.ColorUIResource[r=238,g=238,b=238]                                                                                                                                                                                                                                                                                                                                              |
|                              ComboBox.buttonDarkShadow | javax.swing.plaf.ColorUIResource[r=122,g=138,b=153]                                                                                                                                                                                                                                                                                                                                              |
|                               ComboBox.buttonHighlight | javax.swing.plaf.ColorUIResource[r=255,g=255,b=255]                                                                                                                                                                                                                                                                                                                                              |
|                                  ComboBox.buttonShadow | javax.swing.plaf.ColorUIResource[r=184,g=207,b=229]                                                                                                                                                                                                                                                                                                                                              |
|                            ComboBox.disabledBackground | javax.swing.plaf.ColorUIResource[r=238,g=238,b=238]                                                                                                                                                                                                                                                                                                                                              |
|                            ComboBox.disabledForeground | javax.swing.plaf.ColorUIResource[r=184,g=207,b=229]                                                                                                                                                                                                                                                                                                                                              |
|                                          ComboBox.font | javax.swing.plaf.FontUIResource[family=Dialog,name=Dialog,style=bold,size=12]                                                                                                                                                                                                                                                                                                                    |
|                                    ComboBox.foreground | sun.swing.PrintColorUIResource[r=51,g=51,b=51]                                                                                                                                                                                                                                                                                                                                                   |
|                        ComboBox.isEnterSelectablePopup | false                                                                                                                                                                                                                                                                                                                                                                                            |
|                       ComboBox.noActionOnKeyNavigation | false                                                                                                                                                                                                                                                                                                                                                                                            |
|                           ComboBox.selectionBackground | javax.swing.plaf.ColorUIResource[r=163,g=184,b=204]                                                                                                                                                                                                                                                                                                                                              |
