+------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                    CheckBoxMenuItem.border | javax.swing.plaf.basic.BasicBorders$MarginBorder@44921142                                                                                                                                                                                                                                                                                                                                        |
|                             CheckBoxMenuItem.borderPainted | false                                                                                                                                                                                                                                                                                                                                                                                            |
|                                 CheckBoxMenuItem.checkIcon | com.sun.java.swing.plaf.windows.WindowsIconFactory$VistaMenuItemCheckIconFactory$VistaMenuItemCheckIcon@19cae318                                                                                                                                                                                                                                                                                 |
|                          CheckBoxMenuItem.checkIconFactory | com.sun.java.swing.plaf.windows.WindowsIconFactory$VistaMenuItemCheckIconFactory@5685db2b                                                                                                                                                                                                                                                                                                        |
|                              CheckBoxMenuItem.commandSound | win.sound.menuCommand                                                                                                                                                                                                                                                                                                                                                                            |
|                                CheckBoxMenuItem.evenHeight | true                                                                                                                                                                                                                                                                                                                                                                                             |
|                                      CheckBoxMenuItem.font | javax.swing.plaf.FontUIResource[family=Segoe UI,name=Segoe UI,style=plain,size=12]                                                                                                                                                                                                                                                                                                               |
|                                CheckBoxMenuItem.foreground | javax.swing.plaf.ColorUIResource[r=0,g=0,b=0]                                                                                                                                                                                                                                                                                                                                                    |
|                                    CheckBoxMenuItem.margin | javax.swing.plaf.InsetsUIResource[top=2,left=2,bottom=2,right=2]                                                                                                                                                                                                                                                                                                                                 |
|                         CheckBoxMenuItem.minimumTextOffset | 31                                                                                                                                                                                                                                                                                                                                                                                               |
|                                    CheckBoxMenuItem.opaque | false                                                                                                                                                                                                                                                                                                                                                                                            |
|                       CheckBoxMenuItem.selectionBackground | javax.swing.plaf.ColorUIResource[r=0,g=120,b=215]                                                                                                                                                                                                                                                                                                                                                |
|                       CheckBoxMenuItem.selectionForeground | javax.swing.plaf.ColorUIResource[r=255,g=255,b=255]                                                                                                                                                                                                                                                                                                                                              |
|                                         CheckBoxMenuItemUI | com.sun.java.swing.plaf.windows.WindowsCheckBoxMenuItemUI                                                                                                                                                                                                                                                                                                                                        |
|                                                 CheckBoxUI | com.sun.java.swing.plaf.windows.WindowsCheckBoxUI                                                                                                                                                                                                                                                                                                                                                |
|                                    ColorChooser.background | javax.swing.plaf.ColorUIResource[r=240,g=240,b=240]                                                                                                                                                                                                                                                                                                                                              |
|                                          ColorChooser.font | javax.swing.plaf.FontUIResource[family=Dialog,name=Dialog,style=plain,size=12]                                                                                                                                                                                                                                                                                                                   |
|                                    ColorChooser.foreground | javax.swing.plaf.ColorUIResource[r=0,g=0,b=0]                                                                                                                                                                                                                                                                                                                                                    |
|                    ColorChooser.swatchesDefaultRecentColor | javax.swing.plaf.ColorUIResource[r=240,g=240,b=240]                                                                                                                                                                                                                                                                                                                                              |
|                      ColorChooser.swatchesRecentSwatchSize | java.awt.Dimension[width=10,height=10]                                                                                                                                                                                                                                                                                                                                                           |
|                            ColorChooser.swatchesSwatchSize | java.awt.Dimension[width=10,height=10]                                                                                                                                                                                                                                                                                                                                                           |
|                                             ColorChooserUI | javax.swing.plaf.basic.BasicColorChooserUI                                                                                                                                                                                                                                                                                                                                                       |
